Name,  aaa,bbb,ccc,ddd,Done#,
Cash, 494,45,494,534,
Baltimore & Ohio,3,0,3,4,
Boston & Maine,0,5,0,0,
Chesapeake & Ohio,0,0,0,0,
Illinois Central,0,0,0,0,
Erie,0,0,0,0,
New York Central,0,0,0,0,
Nickel Plate,0,0,0,0,
New York New Haven & Hartford,0,0,0,0,
Pennsylvania,0,0,0,0,
Wabash,0,0,0,0,
Baltimore & Ohio,0,0,0,0,
Boston & Maine,0,0,0,0,
Chesapeake & Ohio,0,0,0,0,
Illinois Central,0,0,0,0,
Erie,0,0,0,0,
New York Central,0,0,0,0,
Nickel Plate,0,0,0,0,
New York New Haven & Hartford,0,0,0,0,
Pennsylvania,0,0,0,0,
Wabash,0,0,0,0,
Names, Baltimore & Ohio,Boston & Maine,Chesapeake & Ohio,Illinois Central,Erie,New York Central,Nickel Plate,New York New Haven & Hartford,Pennsylvania,Wabash,
Cash, 133,1253,0,0,0,0,0,0,0,0,
NetProfit, 999,999,0,0,0,0,0,0,0,0,
Valuation, 6,7,0,0,0,0,0,0,0,0,
President, 3,1,6,6,6,6,6,6,6,6,
Shares, 0,5,10,10,10,10,10,10,10,10,
Orphans, 0,0,0,0,0,0,0,0,0,0,
Started, 1,1,0,0,0,0,0,0,0,0,
Reship, 0,0,0,0,0,0,0,0,0,0,
TurnOrder, 1,0,2,3,4,5,6,7,8,9,
Albany,0,0,0,0,0,0,0,0,0,0,
Augusta,0,0,0,0,0,0,0,0,0,0,
Baltimore,0,0,0,0,0,0,0,0,0,0,
Boston,0,0,0,0,0,0,0,0,0,0,
Buffalo,0,0,0,0,0,0,0,0,0,0,
Burlington,0,0,0,0,0,0,0,0,0,0,
Cairo,0,0,0,0,0,0,0,0,0,0,
Chicago,0,0,0,0,0,0,0,0,0,0,
Cincinnati,0,0,0,0,0,0,0,0,0,0,
Cleveland,0,0,0,0,0,0,0,0,0,0,
Concord,0,0,0,0,0,0,0,0,0,0,
Detroit,0,0,0,0,0,0,0,0,0,0,
Dover,0,0,0,0,0,0,0,0,0,0,
FortWayne,0,0,0,0,0,0,0,0,0,0,
Harrisburg,0,0,0,0,0,0,0,0,0,0,
Hartford,0,0,0,0,0,0,0,0,0,0,
Hunington,0,0,0,0,0,0,0,0,0,0,
Indainapolis,0,0,0,0,0,0,0,0,0,0,
Lexington,0,0,0,0,0,0,0,0,0,0,
Lousiville,0,0,0,0,0,0,0,0,0,0,
NewHaven,0,0,0,0,0,0,0,0,0,0,
NewYork,0,0,0,0,0,0,0,0,0,0,
Norfolk,0,0,0,0,0,0,0,0,0,0,
Philadelphia,0,0,0,0,0,0,0,0,0,0,
Pittsburg,0,0,0,0,0,0,0,0,0,0,
Portsmouth,0,0,0,0,0,0,0,0,0,0,
Provience,0,0,0,0,0,0,0,0,0,0,
Richmond,0,0,0,0,0,0,0,0,0,0,
Roanoke,0,0,0,0,0,0,0,0,0,0,
SaintLouis,0,0,0,0,0,0,0,0,0,0,
Springfield,0,0,0,0,0,0,0,0,0,0,
Syracuse,0,0,0,0,0,0,0,0,0,0,
Utica,0,0,0,0,0,0,0,0,0,0,
Washington,0,0,0,0,0,0,0,0,0,0,
Wheeling,0,0,0,0,0,0,0,0,0,0,
Coal1,0,0,0,0,0,0,0,0,0,0,
Coal2,0,0,0,0,0,0,0,0,0,0,
Coal3,0,0,0,0,0,0,0,0,0,0,
Coal4,0,0,0,0,0,0,0,0,0,0,
Coal5,0,0,0,0,0,0,0,0,0,0,
1,-1,0,0,0,0,0,0,0,0,0,
2,1,0,0,0,0,0,0,0,0,0,
3,1,0,0,0,0,0,0,0,0,0,
4,1,0,0,0,0,0,0,0,0,0,
5,1,0,0,0,0,0,0,0,0,0,
6,-1,0,0,0,0,0,0,0,0,0,
7,1,0,0,0,0,0,0,0,0,0,
8,1,0,0,0,0,0,0,0,0,0,
9,-1,0,0,0,0,0,0,0,0,0,
10,1,0,0,0,0,0,0,0,0,0,
11,0,-1,0,0,0,0,0,0,0,0,
12,1,0,0,0,0,0,0,0,0,0,
13,1,0,0,0,0,0,0,0,0,0,
14,-1,0,0,0,0,0,0,0,0,0,
15,-1,0,0,0,0,0,0,0,0,0,
16,-1,0,0,0,0,0,0,0,0,0,
17,-1,0,0,0,0,0,0,0,0,0,
18,-1,0,0,0,0,0,0,0,0,0,
19,-1,0,0,0,0,0,0,0,0,0,
20,0,1,0,0,0,0,0,0,0,0,
21,0,1,0,0,0,0,0,0,0,0,
22,0,1,0,0,0,0,0,0,0,0,
23,1,0,0,0,0,0,0,0,0,0,
24,1,0,0,0,0,0,0,0,0,0,
25,1,0,0,0,0,0,0,0,0,0,
26,1,0,0,0,0,0,0,0,0,0,
27,0,0,0,0,0,0,0,0,0,0,
28,0,0,0,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0,0,
30,0,0,0,0,0,0,0,0,0,0,
